Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Зарын дугаар: ,Огноо,Зарын гарчиг,Үнэ,Байрлал,Хэрэглэгчийн нэр,Хэрэглэгчийн дугаар,Үзсэн,Зарын тайлбар
Цемент,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,28.0 м²,9,Лизинггүй,Баянгол,1,"3, 4 хороолол",4594399,Нийтэлсэн: 2020-12-21 20:01,1 uruu 28m2,45000000.0,Улаанбаатар,,,1377,1
Паркет,1 тагттай,1980,Байхгүй,Мод,5,Бүргэд,30.0 м²,5,Лизинггүй,Сүхбаатар,2,5-р хороолол,4594737,Нийтэлсэн: 2020-12-21 22:38,Гал тогоо тусдаа 1 өрөө байр,85000000.0,Улаанбаатар,,,487,1
Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,18.0 м²,7,Лизинггүй,Сонгино Хайрхан,3,1-р хороолол,4595514,Нийтэлсэн: 2020-12-22 15:18,"Схд, 1-р хороололд хуучны 1 өрөө байр",65000000.0,Улаанбаатар,,,405,1
Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Бүргэд,33.0 м²,7,Лизинггүй,Хан-Уул,2,Нисэх,4595019,Нийтэлсэн: 2020-12-22 10:33,Нисэхэд 1 өрөө байр 33м2,60000000.0,Улаанбаатар,,,188,1
Паркет,1 тагттай,1988,Байхгүй,Вакум,9,Бүргэд,31.0 м²,2,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,4594933,Нийтэлсэн: 2020-12-22 08:04,1 uruu bair 31m2,65000000.0,Улаанбаатар,,,556,1
Паркет,1 тагттай,2009,Байхгүй,Вакум,6,Төмөр,43.5 м²,6,Лизинггүй,Баянгол,2,"3, 4 хороолол",4399776,Нийтэлсэн: 2020-12-22 19:07,Хорооллын эцэст 1 өрөө байр,65000000.0,Улаанбаатар,,,213,4
Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,42.3 м²,15,Лизинггүй,Баянзүрх,2,Бусад,4547298,Нийтэлсэн: 2020-12-23 14:04,Dunjingaraviin urd chuhag 2 hothon 1 uruu,93000000.0,Улаанбаатар,,,534,1
Паркет,1 тагттай,2020,Байхгүй,Вакум,17,Бүргэд,36.08 м²,13,Лизинггүй,Баянзүрх,1,Бусад,4596810,Нийтэлсэн: 2020-12-23 15:45,sky residence 2-с 1 ѳрѳѳ байр,1700000.0,Улаанбаатар,,,388,1
Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,24.5 м²,7,Лизинггүй,Чингэлтэй,1,Баянбүрд,4521080,Нийтэлсэн: 2020-12-24 09:38,1өрөө байр 24.5м2,60000000.0,Улаанбаатар,,,220,1
Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,35.0 м²,7,Лизинггүй,Сүхбаатар,3,100 айл,4315572,Нийтэлсэн: 2020-12-24 09:30,1өрөө байр 35м2,60000000.0,Улаанбаатар,,,1640,1
Паркет,Тагтгүй,2012,Байхгүй,Вакум,10,Бүргэд,29.0 м²,8,Лизинггүй,Баянзүрх,1,16-р хороолол,4597123,Нийтэлсэн: 2020-12-23 19:08,16д 1 өрөө байр,46000000.0,Улаанбаатар,,,926,1
